Team,Year,Split,G,Cmp,Att,Pct,Yds,TD,Avg,Plays,Pass,Rush,Pen,Tot,No.,Fum,Int
Baylor,2023,Defense,12,17.8,36.7,64.9,42.4,2.3,6.6,64.0,10.8,8.7,0.7,1.3,4.8,0.8,0.6
Baylor,2023,Difference,,+4.1,-2.3,-5.4,-13.5,-1.2,-1.3,+7.3,+0.8,-1.4,+0.3,0.0,-0.7,-0.1,0.0
Baylor,2022,Offense,13,19.0,41.2,63.0,41.1,2.6,5.8,71.3,10.6,10.3,1.8,1.3,4.8,0.5,0.8
Baylor,2022,Defense,13,18.8,38.2,60.9,41.8,1.9,5.4,69.1,10.0,9.5,1.5,1.5,5.3,0.5,1.0
Baylor,2022,Difference,,+0.2,+3.0,+2.1,-0.7,+0.7,+0.4,+2.2,+0.6,+0.8,+0.3,-0.2,-0.5,0.0,-0.2
Boise State,2024,Offense,14,18.6,39.6,62.9,46.2,3.1,6.7,69.3,11.0,10.9,1.6,0.9,5.4,0.4,0.5
Boise State,2024,Defense,14,19.5,32.4,60.5,52.6,1.1,5.6,64.6,9.2,6.8,1.2,1.1,6.6,0.6,0.5
Boise State,2024,Difference,,-0.9,+7.2,+2.4,-6.4,+2.0,+1.1,+4.7,+1.8,+4.1,+0.4,-0.2,-1.2,-0.2,0.0
Boise State,2023,Offense,14,15.4,40.0,58.1,32.0,2.4,6.6,66.6,9.3,10.8,1.5,1.6,3.7,0.6,0.9
Boise State,2023,Defense,14,19.1,32.2,60.8,46.3,1.6,6.0,63.7,10.4,7.1,1.1,1.4,5.9,0.6,0.8
Boise State,2023,Difference,,-3.7,+7.8,-2.7,-14.3,+0.8,+0.6,+2.9,-1.1,+3.7,+0.4,+0.2,-2.2,0.0,+0.1
Boise State,2022,Offense,14,16.4,39.4,59.5,47.4,1.9,5.8,66.9,8.6,10.0,0.9,1.2,5.6,0.6,0.6
Boise State,2022,Defense,14,13.4,35.7,51.7,40.8,1.1,4.8,61.6,6.4,7.3,0.9,1.4,5.7,0.4,1.1
Boise State,2022,Difference,,+3.0,+3.7,+7.8,+6.6,+0.8,+1.0,+5.3,+2.2,+2.7,0.0,-0.2,-0.1,+0.2,-0.5
Boston College,2024,Offense,13,15.9,40.7,62.7,43.1,1.8,5.5,66.1,8.6,8.8,1.8,1.2,4.5,0.7,0.5
Boston College,2024,Defense,13,20.8,31.8,61.5,55.8,1.2,5.5,65.7,11.8,6.6,1.5,1.9,6.4,0.6,1.3
Boston College,2024,Difference,,-4.9,+8.9,+1.2,-12.7,+0.6,0.0,+0.4,-3.2,+2.2,+0.3,-0.7,-1.9,+0.1,-0.8
