School,Year,W,L,Pct,Year Link
Kansas,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/kansas/2022.html
Kansas State,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/kansas-state/2024.html
Kansas State,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/kansas-state/2023.html
Kansas State,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/kansas-state/2022.html
Kent State,2024,0,12,.000,https://www.sports-reference.com/cfb/schools/kent-state/2024.html
Kent State,2023,1,11,.083,https://www.sports-reference.com/cfb/schools/kent-state/2023.html
Kent State,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/kent-state/2022.html
Kentucky,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/kentucky/2024.html
Kentucky,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/kentucky/2023.html
Kentucky,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/kentucky/2022.html
Louisiana,2024,10,4,.714,https://www.sports-reference.com/cfb/schools/louisiana-lafayette/2024.html
Louisiana,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/louisiana-lafayette/2023.html
Louisiana,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/louisiana-lafayette/2022.html
Louisiana Tech,2024,5,8,.385,https://www.sports-reference.com/cfb/schools/louisiana-tech/2024.html
Louisiana Tech,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/louisiana-tech/2023.html
Louisiana Tech,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/louisiana-tech/2022.html
Louisiana-Monroe,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/louisiana-monroe/2024.html
Louisiana-Monroe,2023,2,10,.167,https://www.sports-reference.com/cfb/schools/louisiana-monroe/2023.html
Louisiana-Monroe,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/louisiana-monroe/2022.html
Louisville,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/louisville/2024.html
Louisville,2023,10,4,.714,https://www.sports-reference.com/cfb/schools/louisville/2023.html
Louisville,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/louisville/2022.html
LSU,2024,9,4,.692,https://www.sports-reference.com/cfb/schools/louisiana-state/2024.html
LSU,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/louisiana-state/2023.html
LSU,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/louisiana-state/2022.html
Marshall,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/marshall/2024.html
Marshall,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/marshall/2023.html
Marshall,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/marshall/2022.html
Maryland,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/maryland/2024.html
Maryland,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/maryland/2023.html
Maryland,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/maryland/2022.html
Massachusetts,2024,2,10,.167,https://www.sports-reference.com/cfb/schools/massachusetts/2024.html
Massachusetts,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/massachusetts/2023.html
Massachusetts,2022,1,11,.083,https://www.sports-reference.com/cfb/schools/massachusetts/2022.html
Memphis,2024,11,2,.846,https://www.sports-reference.com/cfb/schools/memphis/2024.html
Memphis,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/memphis/2023.html
Memphis,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/memphis/2022.html
Miami (FL),2024,10,3,.769,https://www.sports-reference.com/cfb/schools/miami-fl/2024.html
Miami (FL),2023,7,6,.538,https://www.sports-reference.com/cfb/schools/miami-fl/2023.html
Miami (FL),2022,5,7,.417,https://www.sports-reference.com/cfb/schools/miami-fl/2022.html
Miami (OH),2024,9,5,.643,https://www.sports-reference.com/cfb/schools/miami-oh/2024.html
Miami (OH),2023,11,3,.786,https://www.sports-reference.com/cfb/schools/miami-oh/2023.html
Miami (OH),2022,6,7,.462,https://www.sports-reference.com/cfb/schools/miami-oh/2022.html
Michigan,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/michigan/2024.html
Michigan,2023,15,0,1.000,https://www.sports-reference.com/cfb/schools/michigan/2023.html
Michigan,2022,13,1,.929,https://www.sports-reference.com/cfb/schools/michigan/2022.html
Michigan State,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/michigan-state/2024.html
Michigan State,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/michigan-state/2023.html
Michigan State,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/michigan-state/2022.html
Middle Tennessee State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/middle-tennessee-state/2024.html
Middle Tennessee State,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/middle-tennessee-state/2023.html
Middle Tennessee State,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/middle-tennessee-state/2022.html
Minnesota,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/minnesota/2024.html
Minnesota,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/minnesota/2023.html
Minnesota,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/minnesota/2022.html
Mississippi State,2024,2,10,.167,https://www.sports-reference.com/cfb/schools/mississippi-state/2024.html
Mississippi State,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/mississippi-state/2023.html
Mississippi State,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/mississippi-state/2022.html
Missouri,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/missouri/2024.html
Missouri,2023,11,2,.846,https://www.sports-reference.com/cfb/schools/missouri/2023.html
Missouri,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/missouri/2022.html
Navy,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/navy/2024.html
Navy,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/navy/2023.html
Navy,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/navy/2022.html
Nebraska,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/nebraska/2024.html
Nebraska,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/nebraska/2023.html
Nebraska,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/nebraska/2022.html
Nevada,2024,3,10,.231,https://www.sports-reference.com/cfb/schools/nevada/2024.html
Nevada,2023,2,10,.167,https://www.sports-reference.com/cfb/schools/nevada/2023.html
Nevada,2022,2,10,.167,https://www.sports-reference.com/cfb/schools/nevada/2022.html
Nevada-Las Vegas,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/nevada-las-vegas/2024.html
Nevada-Las Vegas,2023,9,5,.643,https://www.sports-reference.com/cfb/schools/nevada-las-vegas/2023.html
Nevada-Las Vegas,2022,5,7,.417,https://www.sports-reference.com/cfb/schools/nevada-las-vegas/2022.html
New Mexico,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/new-mexico/2024.html
New Mexico,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/new-mexico/2023.html
New Mexico,2022,2,10,.167,https://www.sports-reference.com/cfb/schools/new-mexico/2022.html
New Mexico State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/new-mexico-state/2024.html
New Mexico State,2023,10,5,.667,https://www.sports-reference.com/cfb/schools/new-mexico-state/2023.html
New Mexico State,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/new-mexico-state/2022.html
North Carolina,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/north-carolina/2024.html
North Carolina,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/north-carolina/2023.html
North Carolina,2022,9,5,.643,https://www.sports-reference.com/cfb/schools/north-carolina/2022.html
North Carolina State,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/north-carolina-state/2024.html
North Carolina State,2023,9,4,.692,https://www.sports-reference.com/cfb/schools/north-carolina-state/2023.html
North Carolina State,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/north-carolina-state/2022.html
North Texas,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/north-texas/2024.html
North Texas,2023,5,7,.417,https://www.sports-reference.com/cfb/schools/north-texas/2023.html
North Texas,2022,7,7,.500,https://www.sports-reference.com/cfb/schools/north-texas/2022.html
Northern Illinois,2024,8,5,.615,https://www.sports-reference.com/cfb/schools/northern-illinois/2024.html
Northern Illinois,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/northern-illinois/2023.html
Northern Illinois,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/northern-illinois/2022.html
Northwestern,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/northwestern/2024.html
Northwestern,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/northwestern/2023.html
Northwestern,2022,1,11,.083,https://www.sports-reference.com/cfb/schools/northwestern/2022.html
Notre Dame,2024,14,2,.875,https://www.sports-reference.com/cfb/schools/notre-dame/2024.html
Notre Dame,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/notre-dame/2023.html
Notre Dame,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/notre-dame/2022.html
Ohio,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/ohio/2024.html
Ohio,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/ohio/2023.html
Ohio,2022,10,4,.714,https://www.sports-reference.com/cfb/schools/ohio/2022.html
Ohio State,2024,14,2,.875,https://www.sports-reference.com/cfb/schools/ohio-state/2024.html
Ohio State,2023,11,2,.846,https://www.sports-reference.com/cfb/schools/ohio-state/2023.html
Ohio State,2022,11,2,.846,https://www.sports-reference.com/cfb/schools/ohio-state/2022.html
Oklahoma,2024,6,7,.462,https://www.sports-reference.com/cfb/schools/oklahoma/2024.html
Oklahoma,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/oklahoma/2023.html
Oklahoma,2022,6,7,.462,https://www.sports-reference.com/cfb/schools/oklahoma/2022.html
Oklahoma State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/oklahoma-state/2024.html
Oklahoma State,2023,10,4,.714,https://www.sports-reference.com/cfb/schools/oklahoma-state/2023.html
