Team,Year,Team ID,Team URL
Ohio State,2024,518,https://cfbstats.com/2024/team/518/index.html
Ohio State,2023,518,https://cfbstats.com/2023/team/518/index.html
Ohio State,2022,518,https://cfbstats.com/2022/team/518/index.html
Oklahoma,2024,522,https://cfbstats.com/2024/team/522/index.html
Oklahoma,2023,522,https://cfbstats.com/2023/team/522/index.html
Oklahoma,2022,522,https://cfbstats.com/2022/team/522/index.html
Oklahoma State,2024,521,https://cfbstats.com/2024/team/521/index.html
Oklahoma State,2023,521,https://cfbstats.com/2023/team/521/index.html
Oklahoma State,2022,521,https://cfbstats.com/2022/team/521/index.html
Old Dominion,2024,523,https://cfbstats.com/2024/team/523/index.html
Old Dominion,2023,523,https://cfbstats.com/2023/team/523/index.html
Old Dominion,2022,523,https://cfbstats.com/2022/team/523/index.html
Ole Miss,2024,433,https://cfbstats.com/2024/team/433/index.html
Ole Miss,2023,433,https://cfbstats.com/2023/team/433/index.html
Ole Miss,2022,433,https://cfbstats.com/2022/team/433/index.html
Oregon,2024,529,https://cfbstats.com/2024/team/529/index.html
Oregon,2023,529,https://cfbstats.com/2023/team/529/index.html
Oregon,2022,529,https://cfbstats.com/2022/team/529/index.html
Oregon State,2024,528,https://cfbstats.com/2024/team/528/index.html
Oregon State,2023,528,https://cfbstats.com/2023/team/528/index.html
Oregon State,2022,528,https://cfbstats.com/2022/team/528/index.html
Penn State,2024,539,https://cfbstats.com/2024/team/539/index.html
Penn State,2023,539,https://cfbstats.com/2023/team/539/index.html
Penn State,2022,539,https://cfbstats.com/2022/team/539/index.html
Pitt,2024,545,https://cfbstats.com/2024/team/545/index.html
Pitt,2023,545,https://cfbstats.com/2023/team/545/index.html
Pitt,2022,545,https://cfbstats.com/2022/team/545/index.html
Purdue,2024,559,https://cfbstats.com/2024/team/559/index.html
Purdue,2023,559,https://cfbstats.com/2023/team/559/index.html
Purdue,2022,559,https://cfbstats.com/2022/team/559/index.html
Rice,2024,574,https://cfbstats.com/2024/team/574/index.html
Rice,2023,574,https://cfbstats.com/2023/team/574/index.html
Rice,2022,574,https://cfbstats.com/2022/team/574/index.html
Rutgers,2024,587,https://cfbstats.com/2024/team/587/index.html
Rutgers,2023,587,https://cfbstats.com/2023/team/587/index.html
Rutgers,2022,587,https://cfbstats.com/2022/team/587/index.html
SMU,2024,663,https://cfbstats.com/2024/team/663/index.html
SMU,2023,663,https://cfbstats.com/2023/team/663/index.html
SMU,2022,663,https://cfbstats.com/2022/team/663/index.html
San Diego State,2024,626,https://cfbstats.com/2024/team/626/index.html
San Diego State,2023,626,https://cfbstats.com/2023/team/626/index.html
San Diego State,2022,626,https://cfbstats.com/2022/team/626/index.html
San Jose State,2024,630,https://cfbstats.com/2024/team/630/index.html
San Jose State,2023,630,https://cfbstats.com/2023/team/630/index.html
San Jose State,2022,630,https://cfbstats.com/2022/team/630/index.html
South Alabama,2024,646,https://cfbstats.com/2024/team/646/index.html
South Alabama,2023,646,https://cfbstats.com/2023/team/646/index.html
South Alabama,2022,646,https://cfbstats.com/2022/team/646/index.html
South Carolina,2024,648,https://cfbstats.com/2024/team/648/index.html
South Carolina,2023,648,https://cfbstats.com/2023/team/648/index.html
South Carolina,2022,648,https://cfbstats.com/2022/team/648/index.html
South Florida,2024,651,https://cfbstats.com/2024/team/651/index.html
South Florida,2023,651,https://cfbstats.com/2023/team/651/index.html
South Florida,2022,651,https://cfbstats.com/2022/team/651/index.html
Southern Mississippi,2024,664,https://cfbstats.com/2024/team/664/index.html
Southern Mississippi,2023,664,https://cfbstats.com/2023/team/664/index.html
Southern Mississippi,2022,664,https://cfbstats.com/2022/team/664/index.html
Stanford,2024,674,https://cfbstats.com/2024/team/674/index.html
Stanford,2023,674,https://cfbstats.com/2023/team/674/index.html
Stanford,2022,674,https://cfbstats.com/2022/team/674/index.html
Syracuse,2024,688,https://cfbstats.com/2024/team/688/index.html
Syracuse,2023,688,https://cfbstats.com/2023/team/688/index.html
Syracuse,2022,688,https://cfbstats.com/2022/team/688/index.html
Temple,2024,690,https://cfbstats.com/2024/team/690/index.html
Temple,2023,690,https://cfbstats.com/2023/team/690/index.html
Temple,2022,690,https://cfbstats.com/2022/team/690/index.html
Tennessee,2024,694,https://cfbstats.com/2024/team/694/index.html
Tennessee,2023,694,https://cfbstats.com/2023/team/694/index.html
Tennessee,2022,694,https://cfbstats.com/2022/team/694/index.html
Texas,2024,703,https://cfbstats.com/2024/team/703/index.html
Texas,2023,703,https://cfbstats.com/2023/team/703/index.html
Texas,2022,703,https://cfbstats.com/2022/team/703/index.html
Texas A&M,2024,697,https://cfbstats.com/2024/team/697/index.html
Texas A&M,2023,697,https://cfbstats.com/2023/team/697/index.html
Texas A&M,2022,697,https://cfbstats.com/2022/team/697/index.html
Texas Christian,2024,698,https://cfbstats.com/2024/team/698/index.html
Texas Christian,2023,698,https://cfbstats.com/2023/team/698/index.html
Texas Christian,2022,698,https://cfbstats.com/2022/team/698/index.html
Texas State,2024,670,https://cfbstats.com/2024/team/670/index.html
Texas State,2023,670,https://cfbstats.com/2023/team/670/index.html
Texas State,2022,670,https://cfbstats.com/2022/team/670/index.html
